,Year,Month,Country,Area,Type,Activity,Sex,Age,Fatal,Injury,Species,Size (min),Size (max)
5134,1927,Jan,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Body surfing,M,,N,Moderate,,150.0,150.0
5135,1927,Jan,USA,California,Unprovoked,Swimming,M,,N,,,,
5136,1927,Jan,AUSTRALIA,New South Wales,Unprovoked,Swimming,M,15.0,Y,Fatal,,370.0,370.0
5137,1927,,AUSTRALIA,New South Wales,Unprovoked,Swimming,M,10.0,Y,Fatal,,,
5138,1927,,AUSTRALIA,Torres Strait,Unprovoked,Pearl diving,M,,N,Minor,,,
5139,1926,Dec,AUSTRALIA,Torres Strait,Unprovoked,Diving for trochus,M,,Y,Fatal,,,
5140,1926,Nov,AUSTRALIA,Torres Strait,Unprovoked,Diving,M,,N,Moderate,,,
5141,1926,Oct,PAPUA NEW GUINEA,Central Province,Unprovoked,Jumped into the water,M,,Y,Fatal,,,
5142,1926,Oct,AUSTRALIA,New South Wales,Unprovoked,Bathing,M,17.0,N,Moderate,,122.0,122.0
5143,1926,Oct,BERMUDA,,Sea Disaster,British patrol boat 1250-ton HMS  Valerian foundered in a hurricane,,,N,,,,
5144,1926,Sep,PAPUA NEW GUINEA,,Unprovoked,Jumped out of canoe,M,,Y,Fatal,,,
5145,1926,Aug,USA,New Jersey,Unprovoked,Swimming,M,18.0,Y,Fatal,,,
5146,1926,Jul,ITALY,Golfo di Genova in the Ligurian Sea,Unprovoked,Swimming,M,20.0,Y,Fatal,,610.0,701.0
5147,1926,Jul,USA,New Jersey,Boating,Fishing,M,,N,Minor,,,
5148,1926,Jul,USA,California,Unprovoked,Swimming with dog near canning factory,M,15.0,N,Moderate,,150.0,150.0
5149,1926,Jul,SPAIN,Sants-Montjic,Invalid,Bathing,M,,,Minor,,200.0,200.0
5150,1926,May,USA,Hawaii,Unprovoked,Swimming,M,,Y,Fatal,,380.0,380.0
5151,1926,Apr,SOUTH ATLANTIC OCEAN,South of the Equator ,Unprovoked,Fell overboard from SS Ripley Castle,M,26.0,N,Minor,,,
5152,1926,Apr,USA,Hawaii,Unprovoked,Swimming,F,,N,Minor,,91.0,91.0
5153,1926,Mar,AUSTRALIA,South Australia,Unprovoked,Swimming ,F,,Y,Fatal,,370.0,370.0
5154,1926,Jan,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Swimming,M,,N,Moderate,,,
5155,1926,Jan,AUSTRALIA,Victoria,Unprovoked,,M,,N,Moderate,,,
5156,1926,,MONACO,Bay of Monaco,Unprovoked,,M,,Y,Fatal,,,
5157,1926,,NEW ZEALAND,Cook Islands,Provoked,Shark hoisted on board liner Tahiti,M,,N,Minor,,,
5158,1926,,SINGAPORE,,Unprovoked,Dived onto shark from floating stage,F,,Y,Fatal,,,
5159,1926,,SOUTH AFRICA,Western Cape Province,Unprovoked,Swimming to mail boat,M,,,,,,
5160,1925,Nov,AUSTRALIA,Western Australia,Unprovoked,Floating on his back,M,55.0,Y,Fatal,,400.0,400.0
5161,1925,Nov,USA,Puerto Rico,Unprovoked,,F,,N,Moderate,,,
5162,1925,Nov,USA,Puerto Rico,Unprovoked,,M,,N,Moderate,,,
5163,1925,Sep,SPAIN,Valencia ,Provoked,Fishing,M,,N,Minor,,,
5164,1925,Sep,ENGLAND,Isle of Wight,Unprovoked,Fishing,M,,N,Minor,,,
5165,1925,Aug,USA,South Carolina,Unprovoked,Swimming,F,,N,Moderate,,,
5166,1925,Jun,AUSTRALIA,Western Australia,Invalid,,,,,Fatal,,,
5167,1925,May,USA,Puerto Rico,Unprovoked,,M,,N,Major,,,
5168,1925,Mar,AUSTRALIA,New South Wales,Unprovoked,Bathing in waist-deep water,M,16.0,N,Major,,,
5169,1925,Mar,AUSTRALIA,New South Wales,Unprovoked,Swimming,M,16.0,Y,Fatal,,,
5170,1925,Mar,PAPUA NEW GUINEA,Central Province,Unprovoked,Swimming,M,,Y,Fatal,,,
5171,1925,Jan,USA,Florida,Unprovoked,Swimming,M,,N,Moderate,,,
5172,1925,Jan,CANADA,Vancouver,Unprovoked,"Diving, repairing water main at depth of 90'",M,,N,Minor,,210.0,210.0
5173,1925,,FIJI,Viti Levu Island,Unprovoked,Diving for coins tossed from passenger ship,M,,N,Major,,,
5174,1924,Nov,MEXICO,Tamaulipas,Unprovoked,The Ward liner Esperanza stranded during a gale & she leapt overboard to rescue her dog which had been swept overboard.,F,,Y,Fatal,,180.0,180.0
5175,1924,Nov,PANAMA,"2 to 3 miles off Taboguilla Island, Pacific Ocean",Unprovoked,"Inebriated, woke from sleep and fell off deck into the water ",M,35.0,N,Minor,,,
5176,1924,Nov,USA,Puerto Rico,Unprovoked,Bathing,M,35.0,Y,Fatal,,,
5177,1924,Oct,FRENCH POLYNESIA,Tuamotus,Provoked,Pearl diving,M,,N,Minor,,,
5178,1924,Oct,AUSTRALIA,Victoria,Unprovoked,Bathing,M,,N,Minor,,305.0,305.0
5179,1924,Jul,USA,South Carolina,Unprovoked,Standing,M,,N,Minor,,190.0,190.0
5180,1924,Jul,ENGLAND,Dorset,Provoked,Fishing for mackerel,M,,N,Major,,366.0,366.0
5181,1924,Jul,USA,California,Boating,Fishing,M,,N,Minor,,,
5182,1924,Jun,USA,Florida,Provoked,Removing shark from a net,M,,N,,,,
5183,1924,Apr,AUSTRALIA,New South Wales,Unprovoked,"Fishing, fell in water & swimming strongly to shore",M,20.0,Y,Fatal,,,
5184,1924,Apr,PANAMA,150 miles offshore,Unprovoked,"Floating, after falling or jumping off the Standard Oil tanker Frederick W. Weller",M,21.0,N,,,,
5185,1924,Apr,AUSTRALIA,Western Australia,Invalid,Swimming ,M,,,Minor,,,
5186,1924,Mar,SOLOMON ISLANDS,Central Province,Unprovoked,Swimming,M,,N,Major,,,
5187,1924,Mar,SPAIN,Galica,Boating,Fishing,,,N,Minor,,350.0,350.0
5188,1924,Feb,AUSTRALIA,New South Wales,Unprovoked,Bathing in 5' of water,F,30.0,N,Major,,,
5189,1924,Feb,AUSTRALIA,Queensland,Invalid,Bathing,M,,,,,,
5190,1924,Jan,SOUTH AFRICA,KwaZulu-Natal,Unprovoked,Swimming,M,22.0,Y,Fatal,,,
5191,1924,Jan,SOUTH AFRICA,Eastern Cape Province,Unprovoked,Swimming,M,,N,Moderate,,,
5192,1924,Jan,AUSTRALIA,New South Wales,Unprovoked,Had just dived into water & was swimming,M,16.0,Y,Fatal,,300.0,300.0
5193,1923,Dec,AUSTRALIA,New South Wales,Unprovoked,Swimming,M,,N,Moderate,,,
5194,1923,Dec,AUSTRALIA,New South Wales,Unprovoked,"Fishing, standing in waist-deep water",M,,Y,Fatal,,,
5195,1923,Nov,AUSTRALIA,Western Australia,Unprovoked,Dry shelling,M,,Y,Fatal,,,
5196,1923,Nov,AUSTRALIA,New South Wales,Invalid,Fishing,M,,,Fatal,,,
5197,1923,Oct,AUSTRALIA,New South Wales,Invalid,Sailing,M,,,Minor,,,
5198,1923,Oct,AUSTRALIA,New South Wales,Boating,Fishing,,,N,Minor,,,
5199,1923,Oct,AUSTRALIA,Torres Strait,Unprovoked,Pearl diving,M,,N,Major,,,
5200,1923,Aug,GUYANA,Demerara County,Unprovoked,Fishing,M,,N,Moderate,,,
5201,1923,Jul,AUSTRALIA,Queensland,Unprovoked,Diving for pearl,M,,N,Fatal,,,
5202,1923,Jun,AUSTRALIA,New South Wales,Boating,"After rowing skiff was holed by shark, he was attempting to swim ashore",M,,Y,Fatal,,,
5203,1923,Jun,MEXICO,Vera Cruz,Boating,Dismantling cable buoys of the cable ship All America,,,N,Minor,,,
5204,1923,May,AUSTRALIA,Western Australia,Unprovoked,Wading,M,,N,Moderate,,,
5205,1923,May,AUSTRALIA,Queensland,Unprovoked,Diving?,M,,Y,Fatal,,,
5206,1923,Mar,AUSTRALIA,Queensland,Unprovoked,Diving,M,,N,Moderate,,,
5207,1923,Feb,USA,Puerto Rico,Unprovoked,Swimming ,M,25.0,N,Minor,,,
5208,1923,Jan,AUSTRALIA,Western Australia,Invalid,,M,,,,,,
5209,1923,Jan,AUSTRALIA,Western Australia,Unprovoked,Swimming,M,13.0,Y,Fatal,,,
5210,1923,Jan,CUBA,Caribbean Sea,Invalid,seaplane Columbus ditched in the sea,M,,,,,,
5211,1923,,USA,New Jersey,Boating,Fishing,M,,N,Minor,,,
5212,1923,,PHILIPPINES, Manila Bay,Unprovoked,,M,,Y,Fatal,,,
5213,1923,,USA,New Jersey,Provoked,Hoisting shark aboard fishing boat,M,,N,,,,
5214,1922,,USA,New Jersey,Provoked,Hoisting shark aboard fishing boat,M,,N,,,,
5215,1922,Dec,USA,Puerto Rico,Unprovoked,Bathing,F,,Y,Fatal,,,
5216,1922,Dec,AUSTRALIA,Queensland,Unprovoked,Bathing in 3' to 4' of water,M,19.0,Y,Fatal,,270.0,270.0
5217,1922,Sep,BARBADOS,Lucy,Unprovoked,Fishing,M,16.0,Y,Fatal,,,
5218,1922,Oct,AUSTRALIA,New South Wales,Invalid,Sailing,M,,,Fatal,,,
5219,1922,Sep,USA,Hawaii,Unprovoked,"Freediving, inspecting Kaunakakai wharf construction after blasting & dredging ",M,,N,,,,
5220,1922,Sep,ENGLAND,East Yorkshire,Unprovoked,Swimming ,M,,Y,Fatal,,,
5221,1922,Sep,USA,Massachusetts,Boating,Fishing,,,N,Minor,,,
5222,1922,Jul,USA,Florida,Unprovoked,,M,,N,Minor,,,
5223,1922,Jun,USA,Florida,Unprovoked,Floating,F,18.0,Y,Fatal,,180.0,180.0
5224,1922,May,JAMAICA,Westmoreland Parish,Unprovoked,Swimming,M,19.0,Y,Fatal,,183.0,183.0
5225,1922,May,SOUTH AFRICA,Western Cape Province,Unprovoked,Swimming,M,18.0,N,Minor,,366.0,366.0
5226,1922,Apr,AUSTRALIA,New South Wales,Unprovoked,Swimming,M,,Y,Fatal,,,
5227,1922,Mar,JAMAICA,Kingston Parish,Unprovoked,Fishing,M,,N,,,,
5228,1922,Mar,JAMAICA,Kingston Parish,Unprovoked,Standing,F,14.0,Y,Fatal,,270.0,270.0
