,Year,Country,Activity,Age,Species ,Sex,Species
630,2013,USA,Casting a net,9,4' shark,M,4' shark
633,2013,USA,Marathon swimming,47,No shark involvement,F,No shark involvement
634,2013,FRANCE,Longline fishing for sharks,50,"Mako shark, 5'",M,"Mako shark, 5'"
639,2013,USA,Snorkeling,20,Tiger shark?,F,Tiger shark?
641,2013,USA,Surfing,10,"Bull shark, 8'",M,"Bull shark, 8'"
643,2013,USA,Fishing,17,"Bull shark, 6' to 8'",M,"Bull shark, 6' to 8'"
646,2013,BAHAMAS,Spearfishing,40,6' shark,M,6' shark
648,2013,USA,Surfing,18,"Tiger shark, 8' to 10' ",M,"Tiger shark, 8' to 10' "
649,2013,BAHAMAS,Cleaning fish,64,Nurse shark,M,Nurse shark
657,2013,SPAIN,Swimming,48,Shark involvement not confirmed,M,Shark involvement not confirmed
663,2013,USA,Swimming,14,4' to 5' shark,M,4' to 5' shark
664,2013,USA,Swimming,28,"Tiger shark, 14'",M,"Tiger shark, 14'"
668,2013,USA,Boogie Boarding,10,4' to 5' shark,F,4' to 5' shark
669,2013,USA,Fishing for sharks,58,"Lemon shark, 4'",M,"Lemon shark, 4'"
671,2013,USA,Diving,32,Galapagos shark,M,Galapagos shark
675,2013,ECUADOR,Surfing,29,Galapagos shark,M,Galapagos shark
676,2013,USA,Surfing,42,Invalid,M,Invalid
677,2013,REUNION,Body boarding,36,Bull shark,M,Bull shark
678,2013,USA,Surfing,16,a small shark,M,a small shark
680,2013,MEXICO,Swimming,34,Tiger shark,F,Tiger shark
681,2013,AUSTRALIA,Fishing,51,"Grey nurse shark, 3m",M,"Grey nurse shark, 3m"
682,2013,USA,Playing in the surf,9,3' shark,M,3' shark
684,2013,USA,Surfing,21,Bull shark,M,Bull shark
686,2013,FRENCH POLYNESIA,Kite boarding,53,Possibly a blacktip reef shark,M,Possibly a blacktip reef shark
689,2013,USA,Surfing,58,4' shark,M,4' shark
690,2013,AUSTRALIA,Surfing,47,No shark involvement,M,No shark involvement
694,2013,SOUTH AFRICA,Fishing - 'tag & release',30,"Raggedtooth shark, 1.5 m",M,"Raggedtooth shark, 1.5 m"
696,2013,JAMAICA,Spearfishing,68,"Tiger shark, 4.8 m",M,"Tiger shark, 4.8 m"
